H2_MQ2(ppm),LPG_MQ2(ppm),CO_MQ2(ppm),Alcohol_MQ2(ppm),Propane_MQ2(ppm),CH4_MQ4(ppm),Smoke_MQ4(ppm),Temperature(C),label
1.8,0.9,4.1,1.4,1.1,0.7,0,1,0
1.8,0.9,4.1,1.4,1.1,0.7,0,1,0
1.8,0.9,4.1,1.4,1.1,0.7,0,1,0
1.8,0.9,4.1,1.4,1.1,0.7,0,1,0
1.8,0.9,4.1,1.4,1.1,0.7,0,1,0
1.8,0.9,4.1,1.4,1.1,0.7,0,1,0
1.8,0.9,4.1,1.4,1.1,0.7,0,1,0
1.8,0.9,4.1,1.4,1.1,0.7,0,1,0
1.8,0.9,4.1,1.4,1.1,0.7,0,1,0
1.9,0.9,4.5,1.5,1.2,0.7,0,1,0
1.6,0.8,3.7,1.3,1.1,0.8,0,1,0
1.6,0.8,3.7,1.3,1.1,0.8,0,1,0
1.6,0.8,3.7,1.3,1.1,0.8,0,1,0
1.6,0.8,3.7,1.3,1.1,0.8,0,1,0
1.6,0.8,3.7,1.3,1.1,0.8,0,1,0
1.6,0.8,3.7,1.3,1.1,0.8,0,1,0
1.6,0.8,3.7,1.3,1.1,0.8,0,1,0
1.6,0.8,3.7,1.3,1.1,0.8,0,1,0
1.7,0.8,3.9,1.4,1.1,0.8,0,1,0
1.7,0.8,3.9,1.4,1.1,0.8,0,1,0
1.7,0.8,3.9,1.4,1.1,0.8,0,1,0
1.7,0.8,3.9,1.4,1.1,0.8,0,1,0
1.7,0.8,3.9,1.4,1.1,0.8,0,1,0
1.7,0.8,3.9,1.4,1.1,0.8,0,1,0
1.7,0.8,3.9,1.4,1.1,0.8,0,1,0
1.7,0.8,3.9,1.4,1.1,0.8,0,1,0
1.7,0.8,3.9,1.4,1.1,0.8,0,1,0
1.7,0.8,3.9,1.4,1.1,0.8,0,1,0
1.7,0.8,3.9,1.4,1.1,0.8,0,1,0
1.7,0.8,3.9,1.4,1.1,0.8,0,1,0
1.7,0.8,3.9,1.4,1.1,0.8,0,1,0
1.7,0.8,3.9,1.4,1.1,0.8,0,1,0
1.7,0.8,3.9,1.4,1.1,0.8,0,1,0
1.7,0.8,3.9,1.4,1.1,0.8,0,1,0
1.7,0.8,3.9,1.4,1.1,0.8,0,1,0
1.7,0.8,3.9,1.4,1.1,0.8,0,1,0
1.7,0.8,3.9,1.4,1.1,0.8,0,1,0
1.7,0.8,3.9,1.4,1.1,0.8,0,1,0
1.7,0.8,3.9,1.4,1.1,0.8,0,1,0
1.7,0.8,3.9,1.4,1.1,0.8,0,1,0
1.7,0.8,3.9,1.4,1.1,0.8,0,1,0
1.7,0.8,3.9,1.4,1.1,0.8,0,1,0
1.7,0.8,3.9,1.4,1.1,0.8,0,1,0
1.7,0.8,3.9,1.4,1.1,0.8,0,1,0
1.7,0.8,3.9,1.4,1.1,0.8,0,1,0
1.7,0.8,3.9,1.4,1.1,0.8,0,1,0
1.7,0.8,3.9,1.4,1.1,0.8,0,1,0
1.7,0.8,3.9,1.4,1.1,0.8,0,1,0
1.7,0.8,3.9,1.4,1.1,0.8,0,1,0
1.7,0.8,3.9,1.4,1.1,0.8,0,1,0
1.7,0.8,3.9,1.4,1.1,0.8,0,1,0
1.7,0.8,3.9,1.4,1.1,0.8,0,1,0
1.7,0.8,3.9,1.4,1.1,0.8,0,1,0
1.7,0.8,3.9,1.4,1.1,0.8,0,1,0
1.7,0.8,3.9,1.4,1.1,0.8,0,1,0
1.7,0.8,3.9,1.4,1.1,0.8,0,1,0
1.7,0.8,3.9,1.4,1.1,0.8,0,1,0
1.7,0.8,3.9,1.4,1.1,0.8,0,1,0
1.7,0.8,3.9,1.4,1.1,0.8,0,1,0
1.7,0.8,3.9,1.4,1.1,0.8,0,1,0
1.7,0.8,3.9,1.4,1.1,0.8,0,1,0
1.7,0.8,3.9,1.4,1.1,0.8,0,1,0
1.7,0.8,3.9,1.4,1.1,0.8,0,1,0
1.7,0.8,3.9,1.4,1.1,0.8,0,1,0
1.7,0.8,3.9,1.4,1.1,0.8,0,1,0
1.7,0.8,3.9,1.4,1.1,0.8,0,1,0
1.7,0.8,3.9,1.4,1.1,0.8,0,1,0
1.7,0.8,3.9,1.4,1.1,0.8,0,1,0
1.7,0.8,3.9,1.4,1.1,0.8,0,1,0
1.7,0.8,3.9,1.4,1.1,0.8,0,1,0
1.7,0.8,3.9,1.4,1.1,0.8,0,1,0
1.7,0.8,3.9,1.4,1.1,0.8,0,1,0
1.7,0.8,3.9,1.4,1.1,0.8,0,1,0
1.7,0.8,3.9,1.4,1.1,0.8,0,1,0
1.7,0.8,3.9,1.4,1.1,0.8,0,1,0
1.7,0.8,3.9,1.4,1.1,0.8,0,1,0
1.7,0.8,3.9,1.4,1.1,0.8,0,1,0
1.7,0.8,3.9,1.4,1.1,0.8,0,1,0
1.7,0.8,3.9,1.4,1.1,0.8,0,1,0
1.7,0.8,3.9,1.4,1.1,0.8,0,1,0
1.7,0.8,3.9,1.4,1.1,0.8,0,1,0
1.7,0.8,3.9,1.4,1.1,0.8,0,1,0
1.7,0.8,3.9,1.4,1.1,0.8,0,1,0
1.7,0.8,3.9,1.4,1.1,0.8,0,1,0
1.7,0.8,3.9,1.4,1.1,0.8,0,1,0
1.7,0.8,3.9,1.4,1.1,0.8,0,1,0
1.7,0.8,3.9,1.4,1.1,0.8,0,1,0
1.7,0.8,3.9,1.4,1.1,0.8,0,1,0
1.7,0.8,3.9,1.4,1.1,0.8,0,1,0
1.7,0.8,3.9,1.4,1.1,0.8,0,1,0
1.7,0.8,3.9,1.4,1.1,0.8,0,1,0
1.7,0.8,3.9,1.4,1.1,0.8,0,1,0
1.7,0.8,3.9,1.4,1.1,0.8,0,1,0
1.7,0.8,3.9,1.4,1.1,0.8,0,1,0
1.7,0.8,3.9,1.4,1.1,0.8,0,1,0
1.7,0.8,3.9,1.4,1.1,0.8,0,1,0
1.7,0.8,3.9,1.4,1.1,0.8,0,1,0
1.7,0.8,3.9,1.4,1.1,0.8,0,1,0
1.7,0.8,3.9,1.4,1.1,0.8,0,1,0
1.7,0.8,3.9,1.4,1.1,0.8,0,1,0
1.7,0.8,3.9,1.4,1.1,0.8,0,1,0
1.7,0.8,3.9,1.4,1.1,0.8,0,1,0
1.7,0.8,3.9,1.4,1.1,0.8,0,1,0
1.7,0.8,3.9,1.4,1.1,0.8,0,1,0
1.7,0.8,3.9,1.4,1.1,0.8,0,1,0
1.7,0.8,3.9,1.4,1.1,0.8,0,1,0
1.7,0.8,3.9,1.4,1.1,0.8,0,1,0
1.7,0.8,3.9,1.4,1.1,0.8,0,1,0
1.7,0.8,3.9,1.4,1.1,0.8,0,1,0
1.7,0.8,3.9,1.4,1.1,0.8,0,1,0
1.8,0.9,4.1,1.4,1.1,0.8,0,1,0
1.8,0.9,4.1,1.4,1.1,0.8,0,1,0
1.8,0.9,4.1,1.4,1.1,0.8,0,1,0
1.8,0.9,4.1,1.4,1.1,0.8,0,1,0
1.8,0.9,4.1,1.4,1.1,0.8,0,1,0
1.8,0.9,4.1,1.4,1.1,0.8,0,1,0
1.8,0.9,4.1,1.4,1.1,0.8,0,1,0
1.8,0.9,4.1,1.4,1.1,0.8,0,1,0
1.8,0.9,4.1,1.4,1.1,0.8,0,1,0
1.8,0.9,4.1,1.4,1.1,0.8,0,1,0
1.8,0.9,4.1,1.4,1.1,0.8,0,1,0
1.8,0.9,4.1,1.4,1.1,0.8,0,1,0
1.8,0.9,4.1,1.4,1.1,0.8,0,1,0
1.8,0.9,4.1,1.4,1.1,0.8,0,1,0
1.8,0.9,4.1,1.4,1.1,0.8,0,1,0
1.8,0.9,4.1,1.4,1.1,0.8,0,1,0
1.8,0.9,4.1,1.4,1.1,0.8,0,1,0
1.8,0.9,4.1,1.4,1.1,0.8,0,1,0
1.8,0.9,4.1,1.4,1.1,0.8,0,1,0
1.8,0.9,4.1,1.4,1.1,0.8,0,1,0
1.8,0.9,4.1,1.4,1.1,0.8,0,1,0
1.8,0.9,4.1,1.4,1.1,0.8,0,1,0
1.8,0.9,4.1,1.4,1.1,0.8,0,1,0
1.8,0.9,4.1,1.4,1.1,0.8,0,1,0
1.8,0.9,4.1,1.4,1.1,0.8,0,1,0
1.8,0.9,4.1,1.4,1.1,0.8,0,1,0
1.8,0.9,4.1,1.4,1.1,0.8,0,1,0
1.8,0.9,4.1,1.4,1.1,0.8,0,1,0
1.8,0.9,4.1,1.4,1.1,0.8,0,1,0
1.8,0.9,4.1,1.4,1.1,0.8,0,1,0
1.8,0.9,4.1,1.4,1.1,0.8,0,1,0
1.8,0.9,4.1,1.4,1.1,0.8,0,1,0
1.8,0.9,4.1,1.4,1.1,0.8,0,1,0
1.8,0.9,4.1,1.4,1.1,0.8,0,1,0
1.8,0.9,4.1,1.4,1.1,0.8,0,1,0
1.8,0.9,4.1,1.4,1.1,0.8,0,1,0
1.8,0.9,4.1,1.4,1.1,0.8,0,1,0
1.8,0.9,4.1,1.4,1.1,0.8,0,1,0
1.8,0.9,4.1,1.4,1.1,0.8,0,1,0
1.8,0.9,4.1,1.4,1.1,0.8,0,1,0
1.8,0.9,4.1,1.4,1.1,0.8,0,1,0
1.8,0.9,4.1,1.4,1.1,0.8,0,1,0
1.8,0.9,4.1,1.4,1.1,0.8,0,1,0
1.8,0.9,4.1,1.4,1.1,0.8,0,1,0
1.8,0.9,4.1,1.4,1.1,0.8,0,1,0
1.8,0.9,4.1,1.4,1.1,0.8,0,1,0
1.8,0.9,4.1,1.4,1.1,0.8,0,1,0
1.8,0.9,4.1,1.4,1.1,0.8,0,1,0
1.8,0.9,4.1,1.4,1.1,0.8,0,1,0
1.8,0.9,4.1,1.4,1.1,0.8,0,1,0
1.8,0.9,4.1,1.4,1.1,0.8,0,1,0
1.8,0.9,4.1,1.4,1.1,0.8,0,1,0
1.8,0.9,4.1,1.4,1.1,0.8,0,1,0
1.8,0.9,4.1,1.4,1.1,0.8,0,1,0
1.8,0.9,4.1,1.4,1.1,0.8,0,1,0
1.8,0.9,4.1,1.4,1.1,0.8,0,1,0
1.8,0.9,4.1,1.4,1.1,0.8,0,1,0
1.8,0.9,4.1,1.4,1.1,0.8,0,1,0
1.8,0.9,4.1,1.4,1.1,0.8,0,1,0
1.8,0.9,4.1,1.4,1.1,0.8,0,1,0
1.8,0.9,4.1,1.4,1.1,0.8,0,1,0
1.8,0.9,4.1,1.4,1.1,0.8,0,1,0
1.8,0.9,4.1,1.4,1.1,0.8,0,1,0
1.8,0.9,4.1,1.4,1.1,0.8,0,1,0
1.8,0.9,4.1,1.4,1.1,0.8,0,1,0
1.8,0.9,4.1,1.4,1.1,0.8,0,1,0
1.8,0.9,4.1,1.4,1.1,0.8,0,1,0
1.8,0.9,4.1,1.4,1.1,0.8,0,1,0
1.8,0.9,4.1,1.4,1.1,0.8,0,1,0
1.8,0.9,4.1,1.4,1.1,0.8,0,1,0
1.8,0.9,4.1,1.4,1.1,0.8,0,1,0
1.8,0.9,4.1,1.4,1.1,0.8,0,1,0
1.8,0.9,4.1,1.4,1.1,0.8,0,1,0
1.8,0.9,4.1,1.4,1.1,0.8,0,1,0
1.8,0.9,4.1,1.4,1.1,0.8,0,1,0
1.8,0.9,4.1,1.4,1.1,0.8,0,1,0
1.8,0.9,4.1,1.4,1.1,0.8,0,1,0
1.8,0.9,4.1,1.4,1.1,0.8,0,1,0
1.8,0.9,4.1,1.4,1.1,0.8,0,1,0
1.8,0.9,4.1,1.4,1.1,0.8,0,1,0
1.8,0.9,4.1,1.4,1.1,0.8,0,1,0
1.8,0.9,4.1,1.4,1.1,0.8,0,1,0
1.8,0.9,4.1,1.4,1.1,0.8,0,1,0
1.8,0.9,4.1,1.4,1.1,0.8,0,1,0
1.8,0.9,4.1,1.4,1.1,0.8,0,1,0
1.8,0.9,4.1,1.4,1.1,0.8,0,1,0
1.8,0.9,4.1,1.4,1.1,0.8,0,1,0
1.8,0.9,4.1,1.4,1.1,0.8,0,1,0
1.8,0.9,4.1,1.4,1.1,0.8,0,1,0
1.8,0.9,4.1,1.4,1.1,0.8,0,1,0
1.8,0.9,4.1,1.4,1.1,0.8,0,1,0
1.8,0.9,4.1,1.4,1.1,0.8,0,1,0
1.8,0.9,4.1,1.4,1.1,0.8,0,1,0
1.8,0.9,4.1,1.4,1.1,0.8,0,1,0
1.8,0.9,4.1,1.4,1.1,0.8,0,1,0
1.8,0.9,4.1,1.4,1.1,0.8,0,1,0
1.8,0.9,4.1,1.4,1.1,0.8,0,1,0
1.8,0.9,4.1,1.4,1.1,0.8,0,1,0
1.8,0.9,4.1,1.4,1.1,0.8,0,1,0
1.8,0.9,4.1,1.4,1.1,0.8,0,1,0
1.8,0.9,4.1,1.4,1.1,0.8,0,1,0
1.8,0.9,4.1,1.4,1.1,0.8,0,1,0
1.8,0.9,4.1,1.4,1.1,0.8,0,1,0
1.8,0.9,4.1,1.4,1.1,0.8,0,1,0
1.8,0.9,4.1,1.4,1.1,0.8,0,1,0
1.8,0.9,4.1,1.4,1.1,0.8,0,1,0
1.8,0.9,4.1,1.4,1.1,0.8,0,1,0
1.8,0.9,4.1,1.4,1.1,0.8,0,1,0
1.8,0.9,4.1,1.4,1.1,0.8,0,1,0
1.8,0.9,4.1,1.4,1.1,0.8,0,1,0
1.8,0.9,4.1,1.4,1.1,0.8,0,1,0
1.8,0.9,4.1,1.4,1.1,0.8,0,1,0
1.8,0.9,4.1,1.4,1.1,0.8,0,1,0
1.8,0.9,4.1,1.4,1.1,0.8,0,1,0
1.8,0.9,4.1,1.4,1.1,0.8,0,1,0
1.8,0.9,4.1,1.4,1.1,0.8,0,1,0
1.8,0.9,4.1,1.4,1.1,0.8,0,1,0
1.8,0.9,4.1,1.4,1.1,0.8,0,1,0
1.8,0.9,4.1,1.4,1.1,0.8,0,1,0
1.8,0.9,4.1,1.4,1.1,0.8,0,1,0
1.8,0.9,4.1,1.4,1.1,0.8,0,1,0
1.8,0.9,4.1,1.4,1.1,0.8,0,1,0
1.8,0.9,4.1,1.4,1.1,0.8,0,1,0
1.8,0.9,4.1,1.4,1.1,0.8,0,1,0
1.8,0.9,4.1,1.4,1.1,0.8,0,1,0
1.8,0.9,4.1,1.4,1.1,0.8,0,1,0
1.8,0.9,4.1,1.4,1.1,0.8,0,1,0
1.8,0.9,4.1,1.4,1.1,0.8,0,1,0
1.8,0.9,4.1,1.4,1.1,0.8,0,1,0
1.8,0.9,4.1,1.4,1.1,0.8,0,1,0
1.8,0.9,4.1,1.4,1.1,0.8,0,1,0
1.8,0.9,4.1,1.4,1.1,0.8,0,1,0
1.8,0.9,4.1,1.4,1.1,0.8,0,1,0
1.8,0.9,4.1,1.4,1.1,0.8,0,1,0
1.8,0.9,4.1,1.4,1.1,0.8,0,1,0
1.8,0.9,4.1,1.4,1.1,0.8,0,1,0
1.8,0.9,4.1,1.4,1.1,0.8,0,1,0
1.8,0.9,4.1,1.4,1.1,0.8,0,1,0
1.8,0.9,4.1,1.4,1.1,0.8,0,1,0
1.8,0.9,4.1,1.4,1.1,0.8,0,1,0
1.8,0.9,4.1,1.4,1.1,0.8,0,1,0
1.8,0.9,4.1,1.4,1.1,0.8,0,1,0
1.8,0.9,4.1,1.4,1.1,0.8,0,1,0
1.8,0.9,4.1,1.4,1.1,0.8,0,1,0
1.8,0.9,4.1,1.4,1.1,0.8,0,1,0
1.8,0.9,4.1,1.4,1.1,0.8,0,1,0
1.8,0.9,4.1,1.4,1.1,0.8,0,1,0
1.8,0.9,4.1,1.4,1.1,0.8,0,1,0
1.8,0.9,4.1,1.4,1.1,0.8,0,1,0
1.8,0.9,4.1,1.4,1.1,0.8,0,1,0
1.8,0.9,4.1,1.4,1.1,0.8,0,1,0
1.8,0.9,4.1,1.4,1.1,0.8,0,1,0
1.8,0.9,4.1,1.4,1.1,0.8,0,1,0
1.8,0.9,4.1,1.4,1.1,0.8,0,1,0
1.8,0.9,4.1,1.4,1.1,0.8,0,1,0
1.8,0.9,4.1,1.4,1.1,0.8,0,1,0
1.8,0.9,4.1,1.4,1.1,0.8,0,1,0
1.8,0.9,4.1,1.4,1.1,0.8,0,1,0
1.8,0.9,4.1,1.4,1.1,0.8,0,1,0
1.8,0.9,4.1,1.4,1.1,0.8,0,1,0
1.8,0.9,4.1,1.4,1.1,0.8,0,1,0
1.8,0.9,4.1,1.4,1.1,0.8,0,1,0
1.8,0.9,4.1,1.4,1.1,0.8,0,1,0
1.8,0.9,4.1,1.4,1.1,0.8,0,1,0
1.8,0.9,4.1,1.4,1.1,0.8,0,1,0
1.8,0.9,4.1,1.4,1.1,0.8,0,1,0
1.8,0.9,4.1,1.4,1.1,0.8,0,1,0
1.8,0.9,4.1,1.4,1.1,0.8,0,1,0
1.8,0.9,4.1,1.4,1.1,0.8,0,1,0
1.8,0.9,4.1,1.4,1.1,0.8,0,1,0
1.8,0.9,4.1,1.4,1.1,0.8,0,1,0
1.8,0.9,4.1,1.4,1.1,0.8,0,1,0
1.8,0.9,4.1,1.4,1.1,0.8,0,1,0
1.8,0.9,4.1,1.4,1.1,0.8,0,1,0
1.8,0.9,4.1,1.4,1.1,0.8,0,1,0
1.8,0.9,4.1,1.4,1.1,0.8,0,1,0
1.8,0.9,4.1,1.4,1.1,0.8,0,1,0
1.8,0.9,4.1,1.4,1.1,0.8,0,1,0
1.8,0.9,4.1,1.4,1.1,0.8,0,1,0
1.8,0.9,4.1,1.4,1.1,0.8,0,1,0
1.8,0.9,4.1,1.4,1.1,0.8,0,1,0
1.8,0.9,4.1,1.4,1.1,0.8,0,1,0
1.8,0.9,4.1,1.4,1.1,0.8,0,1,0
1.8,0.9,4.1,1.4,1.1,0.8,0,1,0
1.8,0.9,4.1,1.4,1.1,0.8,0,1,0
1.8,0.9,4.1,1.4,1.1,0.8,0,1,0
1.8,0.9,4.1,1.4,1.1,0.8,0,1,0
1.8,0.9,4.1,1.4,1.1,0.8,0,1,0
1.8,0.9,4.1,1.4,1.1,0.8,0,1,0
1.8,0.9,4.1,1.4,1.1,0.8,0,1,0
1.8,0.9,4.1,1.4,1.1,0.8,0,1,0
1.8,0.9,4.1,1.4,1.1,0.8,0,1,0
1.8,0.9,4.1,1.4,1.1,0.8,0,1,0
1.8,0.9,4.1,1.4,1.1,0.8,0,1,0
1.8,0.9,4.1,1.4,1.1,0.8,0,1,0
1.8,0.9,4.1,1.4,1.1,0.8,0,1,0
1.8,0.9,4.1,1.4,1.1,0.8,0,1,0
1.8,0.9,4.1,1.4,1.1,0.8,0,1,0
1.8,0.9,4.1,1.4,1.1,0.8,0,1,0
1.8,0.9,4.1,1.4,1.1,0.8,0,1,0
1.8,0.9,4.1,1.4,1.1,0.8,0,1,0
1.8,0.9,4.1,1.4,1.1,0.8,0,1,0
1.8,0.9,4.1,1.4,1.1,0.8,0,1,0
1.8,0.9,4.1,1.4,1.1,0.8,0,1,0
1.8,0.9,4.1,1.4,1.1,0.8,0,1,0
1.8,0.9,4.1,1.4,1.1,0.8,0,1,0
1.8,0.9,4.1,1.4,1.1,0.8,0,1,0
1.8,0.9,4.1,1.4,1.1,0.8,0,1,0
1.8,0.9,4.1,1.4,1.1,0.8,0,1,0
1.8,0.9,4.1,1.4,1.1,0.8,0,1,0
1.8,0.9,4.1,1.4,1.1,0.8,0,1,0
1.8,0.9,4.1,1.4,1.1,0.8,0,1,0
1.8,0.9,4.1,1.4,1.1,0.8,0,1,0
1.8,0.9,4.1,1.4,1.1,0.8,0,1,0
1.8,0.9,4.3,1.5,1.2,0.8,0,1,0
1.8,0.9,4.3,1.5,1.2,0.8,0,1,0
1.8,0.9,4.3,1.5,1.2,0.8,0,1,0
1.8,0.9,4.3,1.5,1.2,0.8,0,1,0
1.8,0.9,4.3,1.5,1.2,0.8,0,1,0
1.8,0.9,4.3,1.5,1.2,0.8,0,1,0
1.8,0.9,4.3,1.5,1.2,0.8,0,1,0
1.8,0.9,4.3,1.5,1.2,0.8,0,1,0
1.8,0.9,4.3,1.5,1.2,0.8,0,1,0
1.8,0.9,4.3,1.5,1.2,0.8,0,1,0
1.8,0.9,4.3,1.5,1.2,0.8,0,1,0
1.8,0.9,4.3,1.5,1.2,0.8,0,1,0
1.8,0.9,4.3,1.5,1.2,0.8,0,1,0
1.8,0.9,4.3,1.5,1.2,0.8,0,1,0
1.8,0.9,4.3,1.5,1.2,0.8,0,1,0
1.8,0.9,4.3,1.5,1.2,0.8,0,1,0
1.8,0.9,4.3,1.5,1.2,0.8,0,1,0
1.8,0.9,4.3,1.5,1.2,0.8,0,1,0
1.8,0.9,4.3,1.5,1.2,0.8,0,1,0
1.8,0.9,4.3,1.5,1.2,0.8,0,1,0
1.8,0.9,4.3,1.5,1.2,0.8,0,1,0
1.8,0.9,4.3,1.5,1.2,0.8,0,1,0
1.8,0.9,4.3,1.5,1.2,0.8,0,1,0
1.8,0.9,4.3,1.5,1.2,0.8,0,1,0
1.8,0.9,4.3,1.5,1.2,0.8,0,1,0
1.8,0.9,4.3,1.5,1.2,0.8,0,1,0
1.8,0.9,4.3,1.5,1.2,0.8,0,1,0
1.8,0.9,4.3,1.5,1.2,0.8,0,1,0
1.8,0.9,4.3,1.5,1.2,0.8,0,1,0
1.8,0.9,4.3,1.5,1.2,0.8,0,1,0
1.8,0.9,4.3,1.5,1.2,0.8,0,1,0
1.8,0.9,4.3,1.5,1.2,0.8,0,1,0
